Comunidad,Coordenadas Comunidad,ID radio actual,Punto actual más cercano,Distancia actual (km),ID Alternativa 1,Coordenadas Alternativa 1,Distancia Alternativa 1 (km),Ruta Alternativa 1 (Google Maps),ID Alternativa 2,Coordenadas Alternativa 2,Distancia Alternativa 2 (km),Ruta Alternativa 2 (Google Maps),ID Alternativa 3,Coordenadas Alternativa 3,Distancia Alternativa 3 (km),Ruta Alternativa 3 (Google Maps)
El Palmar,"(18.69857, -101.19746)",MI4262,"(18.64277, -100.89956)",33.74 km,MI2334,"(18.62467, -100.90117)",33.99 km,"https://www.google.com/maps/dir/18.698569,-101.197465/18.62467222,-100.901175",MI1393,"(18.63505, -100.89195)",34.74 km,"https://www.google.com/maps/dir/18.698569,-101.197465/18.63505,-100.89195",GR2165,"(18.47569, -100.97771)",34.84 km,"https://www.google.com/maps/dir/18.698569,-101.197465/18.475686,-100.977713"
El Cuirindal,"(19.19000, -101.07254)",MI2458,"(19.42190, -101.21420)",30.25 km,MI0352,"(19.38686, -101.27492)",31.43 km,"https://www.google.com/maps/dir/19.190001,-101.072538/19.38686111,-101.2749167",MI1530,"(19.42400, -100.90378)",32.12 km,"https://www.google.com/maps/dir/19.190001,-101.072538/19.424,-100.903778",MI5675,"(19.39272, -101.28130)",32.39 km,"https://www.google.com/maps/dir/19.190001,-101.072538/19.392723,-101.281303"
Arrollo de los Toros,"(19.15457, -100.95704)",MI1530,"(19.42400, -100.90378)",30.57 km,MI1577,"(19.09128, -100.66348)",33.43 km,"https://www.google.com/maps/dir/19.154569,-100.957039/19.091278,-100.663475",MI2458,"(19.42190, -101.21420)",41.29 km,"https://www.google.com/maps/dir/19.154569,-100.957039/19.421898,-101.214195",MI0107,"(19.20863, -100.57484)",42.97 km,"https://www.google.com/maps/dir/19.154569,-100.957039/19.20863056,-100.5748389"
Las Higueras,"(18.40069, -102.77908)",MI7528,"(18.07419, -102.75777)",36.42 km,MI9776,"(18.73733, -102.79256)",37.50 km,"https://www.google.com/maps/dir/18.400694,-102.779078/18.737333,-102.792557",MI5684,"(18.36263, -102.29986)",53.51 km,"https://www.google.com/maps/dir/18.400694,-102.779078/18.362625,-102.2998639",MI4116,"(18.39137, -102.29289)",54.13 km,"https://www.google.com/maps/dir/18.400694,-102.779078/18.391369,-102.292892"
Los Llanitos,"(18.72652, -102.47674)",MI0686,"(18.94427, -102.29820)",31.35 km,MI1667,"(18.78247, -102.18500)",33.07 km,"https://www.google.com/maps/dir/18.72652,-102.47674/18.78247222,-102.185",MI0862,"(19.03230, -102.44870)",34.18 km,"https://www.google.com/maps/dir/18.72652,-102.47674/19.0323,-102.4487",MI9776,"(18.73733, -102.79256)",35.18 km,"https://www.google.com/maps/dir/18.72652,-102.47674/18.737333,-102.792557"
El PlÃ¡tano,"(18.81141, -101.29554)",MI5707,"(19.05797, -101.40989)",30.26 km,MI1971,"(19.08002, -101.50619)",38.00 km,"https://www.google.com/maps/dir/18.81141,-101.295539/19.080025,-101.5061917",MI6261,"(19.11218, -101.48139)",39.36 km,"https://www.google.com/maps/dir/18.81141,-101.295539/19.11217778,-101.4813861",MI5852,"(19.09859, -101.52605)",40.99 km,"https://www.google.com/maps/dir/18.81141,-101.295539/19.098595,-101.526047"
El Capomo,"(22.92367, -105.20393)",NA7565,"(22.63707, -105.31837)",34.35 km,NA0226,"(22.51984, -105.34442)",47.60 km,"https://www.google.com/maps/dir/22.923671,-105.203926/22.519838,-105.344419",NA4245,"(22.49835, -105.32586)",49.25 km,"https://www.google.com/maps/dir/22.923671,-105.203926/22.498352,-105.325859",NA7440,"(22.50514, -105.35680)",49.60 km,"https://www.google.com/maps/dir/22.923671,-105.203926/22.50514,-105.3568"
La Laguna,"(22.87168, -105.17070)",NA7565,"(22.63707, -105.31837)",30.86 km,NA0226,"(22.51984, -105.34442)",43.68 km,"https://www.google.com/maps/dir/22.871683,-105.170704/22.519838,-105.344419",NA4245,"(22.49835, -105.32586)",45.01 km,"https://www.google.com/maps/dir/22.871683,-105.170704/22.498352,-105.325859",NA7440,"(22.50514, -105.35680)",45.76 km,"https://www.google.com/maps/dir/22.871683,-105.170704/22.50514,-105.3568"
El Saucito,"(22.84618, -105.07063)",NA7565,"(22.63707, -105.31837)",36.09 km,NA0226,"(22.51984, -105.34442)",47.42 km,"https://www.google.com/maps/dir/22.846179,-105.070625/22.519838,-105.344419",NA4245,"(22.49835, -105.32586)",48.03 km,"https://www.google.com/maps/dir/22.846179,-105.070625/22.498352,-105.325859",NA7440,"(22.50514, -105.35680)",49.56 km,"https://www.google.com/maps/dir/22.846179,-105.070625/22.50514,-105.3568"
El Chalate,"(22.41197, -104.94859)",NA4258,"(22.26860, -105.20875)",33.07 km,NA0907,"(22.14175, -105.09664)",34.30 km,"https://www.google.com/maps/dir/22.411966,-104.948592/22.14175,-105.096642",NA0228,"(22.39346, -105.30152)",39.34 km,"https://www.google.com/maps/dir/22.411966,-104.948592/22.393465,-105.301525",NA6513,"(22.22839, -105.26646)",40.86 km,"https://www.google.com/maps/dir/22.411966,-104.948592/22.22839,-105.266464"
